Model,CV_MAE,CV_RMSE,CV_R2,CV_R2_STD,Test_MAE,Test_MSE,Test_RMSE,Test_R2
Linear Regression,2.9479267750558256,3.6870154059922244,-0.2156180494645536,1.036780855533593,1.405561773596067,7.361160479414118,2.713145864013603,0.4513408139125753
Ridge Regression,2.6249168481150202,3.3745780103333205,0.037660874152299774,0.5799522324571899,1.968337306272985,8.153093355765064,2.855362210957668,0.3923146252308193
Random Forest,1.4446732428152884,1.968693665782613,0.6756098315919483,0.22871534437337063,0.576712284012284,1.119501706079268,1.0580650764859731,0.916558687098502
Gradient Boosting,1.242108010497752,1.7111289215577965,0.7432868224564153,0.22490034101611653,0.6321967208597161,1.1852546714140089,1.088694021024277,0.9116578336876462
