Model,CV_MAE,CV_RMSE,CV_R2,CV_R2_STD,Test_MAE,Test_MSE,Test_RMSE,Test_R2
Linear Regression,515.4907414219405,803.0866242149857,0.8452947942532137,0.14027915996662088,394.5434188904115,394619.4908140604,628.1874647062455,0.9179160547375583
Ridge Regression,508.41399110683216,820.877575359628,0.831794118526223,0.1757514426068839,323.6794963659151,322443.3383335104,567.8409445729591,0.9329292598310155
Random Forest,282.1770718366164,673.5488626179889,0.902077586777138,0.0500185766628714,172.0485372296073,206600.9534112664,454.5337758750899,0.9570253833230723
Gradient Boosting,278.33663463683,643.8760806410301,0.9074203828414218,0.06283773909197528,126.26606792131948,125366.12751951627,354.07079450233715,0.9739228634453714
