Model,CV_MAE,CV_RMSE,CV_R2,CV_R2_STD,Test_MAE,Test_MSE,Test_RMSE,Test_R2
Ridge Regression,1203.0907727566312,1628.4070516652775,0.9163614276132774,0.024757013473430317,796.6180426968982,1427024.467225319,1194.5812936863356,0.9608101518815353
Linear Regression,1461.4427810960829,1970.7733464112832,0.8791399722409796,0.02631509296813829,837.6918815456606,1500836.3223168668,1225.086250970464,0.9587830840513639
Random Forest,2017.113319515212,2639.148946395355,0.7742148105741167,0.15084929040434364,1089.0698960085979,2465354.742509048,1570.1448157762545,0.9322948694040779
Gradient Boosting,2105.0168003164786,3082.6777477047463,0.6365380733778063,0.4536727506564085,1062.2493387197621,1926876.530180591,1388.1197823605105,0.9470828985100446
